corpus_id,majority_label,human_label,year,venue_abbr,label_MiniMax-M3,label_GLM-5.3,label_DeepSeek-V4.1-Flash,label_Claude-Sonnet-5,era,N1,n1,pi1,candidate,sampling_label,N2,n2,pi2,weight,production_label,m1_eligible,abstract_status,target_venue,group
15327,theory,benchmark,2006,CEC,theory,theory,benchmark,benchmark,2005-2009,13159,333,0.02530587430655825,True,theory,160,31,0.19375,203.95621427879493,theory,True,nonempty,True,Core EC conferences
93850,review,review,1996,PPSN,review,review,review,review,1990-1999,947,333,0.35163674762407604,True,review,45,22,0.4888888888888889,5.816953316953317,review,True,nonempty,True,Core EC conferences
44328,apply,apply,2024,ESWA,apply,apply,propose_new,apply,2020-2025,40240,333,0.008275347912524851,True,apply,347,45,0.12968299711815562,931.8171504838172,apply,True,nonempty,True,Mixed journals
71992,propose_new,propose_new,2015,ICSI,propose_new,propose_new,propose_new,propose_new,2015-2019,20521,333,0.016227279372350276,True,propose_new,820,81,0.09878048780487805,623.8542245949653,propose_new,True,nonempty,True,Core EC conferences
45716,benchmark,benchmark,2024,ESWA,benchmark,benchmark,benchmark,benchmark,2020-2025,40240,333,0.008275347912524851,True,benchmark,89,25,0.2808988764044944,430.19339339339336,benchmark,True,nonempty,True,Mixed journals
93912,benchmark,benchmark,1996,PPSN,benchmark,benchmark,benchmark,apply,1990-1999,947,333,0.35163674762407604,True,benchmark,89,25,0.2808988764044944,10.124084084084084,benchmark,False,empty,True,Core EC conferences
63897,theory,theory,2010,GECCO,theory,theory,theory,theory,2010-2014,20442,333,0.016289991194599354,True,theory,160,31,0.19375,316.8381284510317,theory,True,nonempty,True,Core EC conferences
93902,improve,improve,1996,PPSN,improve,improve,propose_new,apply,1990-1999,947,333,0.35163674762407604,True,improve,244,37,0.15163934426229508,18.753997240483727,improve,False,empty,True,Core EC conferences
38165,propose_new,propose_new,2019,ESWA,propose_new,propose_new,propose_new,propose_new,2015-2019,20521,333,0.016227279372350276,True,propose_new,820,81,0.09878048780487805,623.8542245949653,propose_new,True,nonempty,True,Mixed journals
61819,apply,other,2004,GECCO,apply,apply,other,other,2000-2004,4013,333,0.08298031397956641,True,apply,347,45,0.12968299711815562,92.926993660327,apply,False,empty,True,Core EC conferences
93710,benchmark,benchmark,1998,PPSN,improve,benchmark,benchmark,benchmark,1990-1999,947,333,0.35163674762407604,True,benchmark,89,25,0.2808988764044944,10.124084084084084,improve,True,nonempty,True,Core EC conferences
74416,propose_new,propose_new,2010,INS,propose_new,propose_new,propose_new,propose_new,2010-2014,20442,333,0.016289991194599354,True,propose_new,820,81,0.09878048780487805,621.4525636747859,propose_new,True,nonempty,True,Mixed journals
92036,theory,theory,2015,NATCOMP,theory,theory,theory,theory,2015-2019,20521,333,0.016227279372350276,True,theory,160,31,0.19375,318.06257870774,theory,True,nonempty,True,Mixed journals
93598,propose_new,propose_new,2000,PPSN,improve,propose_new,propose_new,propose_new,2000-2004,4013,333,0.08298031397956641,True,propose_new,820,81,0.09878048780487805,121.99829459088716,improve,True,nonempty,True,Core EC conferences
86502,apply,improve,2023,INS,apply,improve,,propose_new,2020-2025,40240,333,0.008275347912524851,True,apply,347,45,0.12968299711815562,931.8171504838172,apply,True,nonempty,True,Mixed journals
62089,theory,theory,2004,GECCO,theory,theory,theory,theory,2000-2004,4013,333,0.08298031397956641,True,theory,160,31,0.19375,62.19897316671509,theory,True,nonempty,True,Core EC conferences
122700,other,other,2005,INS,other,other,other,other,2005-2009,13159,333,0.02530587430655825,True,other,167,31,0.18562874251497005,212.8792986534922,other,True,nonempty,True,Mixed journals
89611,theory,theory,2000,INS,theory,theory,theory,theory,2000-2004,4013,333,0.08298031397956641,True,theory,160,31,0.19375,62.19897316671509,theory,True,nonempty,True,Mixed journals
90424,apply,apply,2014,JOH,apply,propose_new,propose_new,apply,2010-2014,20442,333,0.016289991194599354,True,apply,347,45,0.12968299711815562,473.36496496496494,apply,True,nonempty,True,Mixed journals
24911,apply,apply,2001,EMO,apply,apply,apply,apply,2000-2004,4013,333,0.08298031397956641,True,apply,347,45,0.12968299711815562,92.926993660327,apply,True,nonempty,True,Core EC conferences
