corpus_id,human_label,year,venue_abbr,group,label,period,stratum,weight,N_h,n_h,pi1,N2,n2,pi2
10710,neuroevolution,2025,ASOC,Mixed journals,hybrid,2021-2025,Mixed journals|hybrid|2021-2025,58.75670103092784,483,97,0.20082815734989648,118,10,0.0847457627118644
18756,other,2019,CEC,Core EC conferences,other,2016-2020,Core EC conferences|other|2016-2020,6.18125,23,16,0.6956521739130435,43,10,0.23255813953488372
97595,dl_native,2023,SSCI,SSCI (mixed conf.),dl_native,2021-2025,SSCI (mixed conf.)|dl_native|2021-2025,9.3,160,40,0.25,93,40,0.43010752688172044
70966,dl_native,2024,ICSI,Core EC conferences,dl_native,2021-2025,Core EC conferences|dl_native|2021-2025,2.3469387755102042,72,72,1.0,115,49,0.4260869565217391
104934,neuroevolution,2021,TEVC,Core EC journals,neuroevolution,2021-2025,Core EC journals|neuroevolution|2021-2025,6.766666666666666,49,21,0.42857142857142855,29,10,0.3448275862068966
58828,neuroevolution,2015,EVOCOP,Core EC conferences,neuroevolution,<=2015,Core EC conferences|neuroevolution|<=2015,6.6,6,6,1.0,66,10,0.15151515151515152
59616,hybrid,2024,EVOINT,Core EC journals,hybrid,2021-2025,Core EC journals|hybrid|2021-2025,11.148148148148149,86,27,0.313953488372093,35,10,0.2857142857142857
85759,dl_native,2023,INS,Mixed journals,dl_native,2021-2025,Mixed journals|dl_native|2021-2025,134.2620407761253,5193,923,0.17773926439437704,1050,44,0.0419047619047619
22893,dl_native,2020,CEC,Core EC conferences,dl_native,2016-2020,Core EC conferences|dl_native|2016-2020,2.3469387755102042,42,42,1.0,115,49,0.4260869565217391
97911,dl_native,2022,SSCI,SSCI (mixed conf.),dl_native,2021-2025,SSCI (mixed conf.)|dl_native|2021-2025,9.3,160,40,0.25,93,40,0.43010752688172044
104556,neuroevolution,2024,TEVC,Core EC journals,neuroevolution,2021-2025,Core EC journals|neuroevolution|2021-2025,6.766666666666666,49,21,0.42857142857142855,29,10,0.3448275862068966
59365,dl_native,2024,EVOINT,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
98226,hybrid,2021,SSCI,SSCI (mixed conf.),hybrid,2021-2025,SSCI (mixed conf.)|hybrid|2021-2025,1.7999999999999998,9,9,1.0,18,10,0.5555555555555556
21459,dl_native,2025,CEC,Core EC conferences,dl_native,2021-2025,Core EC conferences|dl_native|2021-2025,2.3469387755102042,72,72,1.0,115,49,0.4260869565217391
69825,hybrid,2022,GECCO,Core EC conferences,hybrid,2021-2025,Core EC conferences|hybrid|2021-2025,36.120370370370374,235,54,0.2297872340425532,83,10,0.12048192771084337
22838,neuroevolution,2020,CEC,Core EC conferences,neuroevolution,2016-2020,Core EC conferences|neuroevolution|2016-2020,20.742857142857144,88,28,0.3181818181818182,66,10,0.15151515151515152
48300,other,2025,ESWA,Mixed journals,other,2021-2025,Mixed journals|other|2021-2025,73.19711538461539,525,104,0.1980952380952381,145,10,0.06896551724137931
99360,hybrid,2018,SSCI,SSCI (mixed conf.),hybrid,2016-2020,SSCI (mixed conf.)|hybrid|2016-2020,1.7999999999999998,8,8,1.0,18,10,0.5555555555555556
99333,dl_native,2018,SSCI,SSCI (mixed conf.),dl_native,2016-2020,SSCI (mixed conf.)|dl_native|2016-2020,9.893617021276595,200,47,0.235,93,40,0.43010752688172044
97642,dl_native,2023,SSCI,SSCI (mixed conf.),dl_native,2021-2025,SSCI (mixed conf.)|dl_native|2021-2025,9.3,160,40,0.25,93,40,0.43010752688172044
59410,dl_native,2024,EVOINT,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
40351,dl_native,2022,ESWA,Mixed journals,dl_native,2021-2025,Mixed journals|dl_native|2021-2025,134.2620407761253,5193,923,0.17773926439437704,1050,44,0.0419047619047619
42721,neuroevolution,2023,ESWA,Mixed journals,neuroevolution,2021-2025,Mixed journals|neuroevolution|2021-2025,14.01935483870968,106,31,0.29245283018867924,41,10,0.24390243902439024
98450,neuroevolution,2020,SSCI,SSCI (mixed conf.),neuroevolution,2016-2020,SSCI (mixed conf.)|neuroevolution|2016-2020,2.3000000000000003,15,15,1.0,23,10,0.43478260869565216
47808,dl_native,2025,ESWA,Mixed journals,dl_native,2021-2025,Mixed journals|dl_native|2021-2025,134.2620407761253,5193,923,0.17773926439437704,1050,44,0.0419047619047619
24297,dl_native,2023,EMO,Core EC conferences,dl_native,2021-2025,Core EC conferences|dl_native|2021-2025,2.3469387755102042,72,72,1.0,115,49,0.4260869565217391
10590,other,2025,ASOC,Mixed journals,other,2021-2025,Mixed journals|other|2021-2025,73.19711538461539,525,104,0.1980952380952381,145,10,0.06896551724137931
97678,other,2023,SSCI,SSCI (mixed conf.),other,2021-2025,SSCI (mixed conf.)|other|2021-2025,3.0,12,12,1.0,30,10,0.3333333333333333
99047,dl_native,2019,SSCI,SSCI (mixed conf.),dl_native,2016-2020,SSCI (mixed conf.)|dl_native|2016-2020,9.893617021276595,200,47,0.235,93,40,0.43010752688172044
59333,neuroevolution,2025,EVOINT,Core EC journals,neuroevolution,2021-2025,Core EC journals|neuroevolution|2021-2025,6.766666666666666,49,21,0.42857142857142855,29,10,0.3448275862068966
70976,dl_native,2024,ICSI,Core EC conferences,dl_native,2021-2025,Core EC conferences|dl_native|2021-2025,2.3469387755102042,72,72,1.0,115,49,0.4260869565217391
98772,dl_native,2020,SSCI,SSCI (mixed conf.),dl_native,2016-2020,SSCI (mixed conf.)|dl_native|2016-2020,9.893617021276595,200,47,0.235,93,40,0.43010752688172044
22143,dl_native,2022,CEC,Core EC conferences,dl_native,2021-2025,Core EC conferences|dl_native|2021-2025,2.3469387755102042,72,72,1.0,115,49,0.4260869565217391
71023,dl_native,2024,ICSI,Core EC conferences,dl_native,2021-2025,Core EC conferences|dl_native|2021-2025,2.3469387755102042,72,72,1.0,115,49,0.4260869565217391
98293,hybrid,2021,SSCI,SSCI (mixed conf.),hybrid,2021-2025,SSCI (mixed conf.)|hybrid|2021-2025,1.7999999999999998,9,9,1.0,18,10,0.5555555555555556
76761,dl_native,2016,INS,Mixed journals,dl_native,2016-2020,Mixed journals|dl_native|2016-2020,121.41148325358851,580,114,0.19655172413793104,1050,44,0.0419047619047619
70932,dl_native,2025,ICSI,Core EC conferences,dl_native,2021-2025,Core EC conferences|dl_native|2021-2025,2.3469387755102042,72,72,1.0,115,49,0.4260869565217391
59625,dl_native,2023,EVOINT,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
70179,dl_native,2021,GECCO,Core EC conferences,dl_native,2021-2025,Core EC conferences|dl_native|2021-2025,2.3469387755102042,72,72,1.0,115,49,0.4260869565217391
59883,dl_native,2021,EVOINT,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
91075,dl_native,2024,MEMETIC,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
59604,dl_native,2023,EVOINT,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
29553,other,2010,ESWA,Mixed journals,other,<=2015,Mixed journals|other|<=2015,22.176470588235297,26,17,0.6538461538461539,145,10,0.06896551724137931
59698,dl_native,2024,EVOINT,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
59699,dl_native,2023,EVOINT,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
100457,dl_native,2025,SWEVC,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
70404,neuroevolution,2024,GPEM,Core EC journals,neuroevolution,2021-2025,Core EC journals|neuroevolution|2021-2025,6.766666666666666,49,21,0.42857142857142855,29,10,0.3448275862068966
57570,other,2000,EUROGP,Core EC conferences,neuroevolution,<=2015,Core EC conferences|neuroevolution|<=2015,6.6,6,6,1.0,66,10,0.15151515151515152
49025,dl_native,2025,ESWA,Mixed journals,dl_native,2021-2025,Mixed journals|dl_native|2021-2025,134.2620407761253,5193,923,0.17773926439437704,1050,44,0.0419047619047619
104529,neuroevolution,2024,TEVC,Core EC journals,neuroevolution,2021-2025,Core EC journals|neuroevolution|2021-2025,6.766666666666666,49,21,0.42857142857142855,29,10,0.3448275862068966
65567,neuroevolution,2020,GECCO,Core EC conferences,hybrid,2016-2020,Core EC conferences|hybrid|2016-2020,20.55238095238095,52,21,0.40384615384615385,83,10,0.12048192771084337
98761,dl_native,2020,SSCI,SSCI (mixed conf.),dl_native,2016-2020,SSCI (mixed conf.)|dl_native|2016-2020,9.893617021276595,200,47,0.235,93,40,0.43010752688172044
101149,neuroevolution,2024,SWEVC,Core EC journals,neuroevolution,2021-2025,Core EC journals|neuroevolution|2021-2025,6.766666666666666,49,21,0.42857142857142855,29,10,0.3448275862068966
59913,dl_native,2022,EVOINT,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
97946,other,2022,SSCI,SSCI (mixed conf.),other,2021-2025,SSCI (mixed conf.)|other|2021-2025,3.0,12,12,1.0,30,10,0.3333333333333333
59138,other,2025,EVOINT,Core EC journals,other,2021-2025,Core EC journals|other|2021-2025,4.842105263157896,40,19,0.475,23,10,0.43478260869565216
49453,dl_native,2025,ESWA,Mixed journals,dl_native,2021-2025,Mixed journals|dl_native|2021-2025,134.2620407761253,5193,923,0.17773926439437704,1050,44,0.0419047619047619
90985,dl_native,2025,MEMETIC,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
104497,dl_native,2025,TEVC,Core EC journals,hybrid,2021-2025,Core EC journals|hybrid|2021-2025,11.148148148148149,86,27,0.313953488372093,35,10,0.2857142857142857
65931,dl_native,2019,GECCO,Core EC conferences,dl_native,2016-2020,Core EC conferences|dl_native|2016-2020,2.3469387755102042,42,42,1.0,115,49,0.4260869565217391
23873,neuroevolution,2020,ECJ,Core EC journals,neuroevolution,2016-2020,Core EC journals|neuroevolution|2016-2020,2.9,8,8,1.0,29,10,0.3448275862068966
91161,dl_native,2021,MEMETIC,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
71503,dl_native,2018,ICSI,Core EC conferences,dl_native,2016-2020,Core EC conferences|dl_native|2016-2020,2.3469387755102042,42,42,1.0,115,49,0.4260869565217391
18828,neuroevolution,2019,CEC,Core EC conferences,hybrid,2016-2020,Core EC conferences|hybrid|2016-2020,20.55238095238095,52,21,0.40384615384615385,83,10,0.12048192771084337
95133,dl_native,2014,SSCI,SSCI (mixed conf.),dl_native,<=2015,SSCI (mixed conf.)|dl_native|<=2015,2.325,6,6,1.0,93,40,0.43010752688172044
71551,dl_native,2018,ICSI,Core EC conferences,dl_native,2016-2020,Core EC conferences|dl_native|2016-2020,2.3469387755102042,42,42,1.0,115,49,0.4260869565217391
68379,dl_native,2024,GECCO,Core EC conferences,dl_native,2021-2025,Core EC conferences|dl_native|2021-2025,2.3469387755102042,72,72,1.0,115,49,0.4260869565217391
98470,neuroevolution,2020,SSCI,SSCI (mixed conf.),neuroevolution,2016-2020,SSCI (mixed conf.)|neuroevolution|2016-2020,2.3000000000000003,15,15,1.0,23,10,0.43478260869565216
59650,dl_native,2024,EVOINT,Core EC journals,dl_native,2021-2025,Core EC journals|dl_native|2021-2025,1.872340425531915,86,86,1.0,88,47,0.5340909090909091
