corpus_id,year,venue_abbr,source,abstract_status
123,2009,OTHER,SAE Technical Papers,nonempty
124,2008,OTHER,SAE Technical Papers,nonempty
125,2006,OTHER,SAE Technical Papers,nonempty
126,2004,OTHER,SAE Technical Papers,nonempty
127,2005,OTHER,SAE Technical Papers,nonempty
128,2003,OTHER,SAE Technical Papers,nonempty
129,2002,OTHER,SAE Technical Papers,nonempty
130,1999,OTHER,SAE Technical Papers,nonempty
131,1975,OTHER,SAE Technical Papers,nonempty
15711,2013,OTHER,Advanced Materials Research,nonempty
15716,2013,OTHER,International Journal of Computational Intelligence Systems,nonempty
15723,2013,OTHER,International Journal on Artificial Intelligence Tools,nonempty
15746,2010,OTHER,Elektrotehniski Vestnik/Electrotechnical Review,nonempty
15747,2009,OTHER,Frontiers of Computer Science in China,nonempty
18350,2019,OTHER,Applied Intelligence,nonempty
18357,2018,OTHER,Computers and Industrial Engineering,nonempty
18359,2019,OTHER,Engineering Optimization,nonempty
18366,2019,OTHER,Energies,nonempty
18367,2018,OTHER,Applied Mathematical Modelling,nonempty
18372,2019,OTHER,Energy Conversion and Management,nonempty
18373,2018,OTHER,Egyptian Informatics Journal,nonempty
18374,2016,OTHER,Advances in Engineering Software,nonempty
18377,2018,OTHER,Computational Intelligence,nonempty
18378,2016,OTHER,Journal of Systems Engineering and Electronics,nonempty
18379,2015,OTHER,Journal of Intelligent and Fuzzy Systems,nonempty
18383,2014,OTHER,Applied Mechanics and Materials,nonempty
18384,2015,OTHER,Applied Mathematics and Computation,nonempty
18386,2016,OTHER,European Journal of Operational Research,nonempty
18387,2014,OTHER,Applied Mechanics and Materials,nonempty
18392,2014,OTHER,Engineering Optimization,nonempty
21137,2026,OTHER,Applied Mathematical Modelling,nonempty
21140,2025,OTHER,Knowledge-Based Systems,nonempty
21141,2026,OTHER,Journal of Bionic Engineering,nonempty
21142,2025,OTHER,Journal of Supercomputing,nonempty
21144,2026,OTHER,Cluster Computing,nonempty
21146,2025,OTHER,Nondestructive Testing and Evaluation,nonempty
21147,2025,OTHER,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",nonempty
21151,2026,OTHER,Artificial Intelligence Review,nonempty
21152,2025,OTHER,Journal of Supercomputing,nonempty
21154,2026,OTHER,Biomimetics,nonempty
21156,2024,OTHER,International Journal of Computational Intelligence Systems,nonempty
21157,2026,OTHER,Intelligent Systems with Applications,nonempty
21159,2026,OTHER,Cluster Computing,nonempty
21161,2025,OTHER,Cluster Computing,nonempty
21163,2025,OTHER,CMES - Computer Modeling in Engineering and Sciences,nonempty
21166,2026,OTHER,PeerJ Computer Science,nonempty
21169,2025,OTHER,Engineering Applications of Artificial Intelligence,nonempty
21171,2026,OTHER,Engineering Applications of Artificial Intelligence,nonempty
21172,2025,OTHER,Evolving Systems,nonempty
21175,2025,OTHER,CMES - Computer Modeling in Engineering and Sciences,nonempty
21179,2025,OTHER,Cluster Computing,nonempty
