case_id,corpus_id,human_label,uncertain,task,stratum,N,n,pi,year,venue_abbr
NCV-0006,59375,benchmark,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2024,EVOINT
NCV-0010,58714,benchmark,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2022,EVOCOP
NCV-0013,104273,propose_new,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2025,TEVC
NCV-0019,100462,propose_new,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2025,SWEVC
NCV-0020,59463,apply,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2024,EVOINT
NCV-0022,100758,propose_new,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2025,SWEVC
NCV-0027,68396,theory,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2024,GECCO
NCV-0028,59941,propose_new,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2021,EVOINT
NCV-0029,68651,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2024,GECCO
NCV-0032,101231,hybrid,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2023,SWEVC
NCV-0052,70036,benchmark,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2021,GECCO
NCV-0054,67765,improve,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2025,GECCO
NCV-0063,59448,propose_new,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2024,EVOINT
NCV-0064,22171,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2022,CEC
NCV-0068,68755,apply,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2024,GECCO
NCV-0069,21967,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2022,CEC
NCV-0073,21518,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2024,CEC
NCV-0080,101281,hybrid,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2024,SWEVC
NCV-0081,69094,improve,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2023,GECCO
NCV-0083,69221,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2023,GECCO
NCV-0086,100649,improve,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2025,SWEVC
NCV-0089,104702,improve,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2023,TEVC
NCV-0094,91106,propose_new,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2023,MEMETIC
NCV-0097,68628,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2024,GECCO
NCV-0098,24228,improve,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2025,EMO
NCV-0127,100159,propose_new,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2021,SWARMINT
NCV-0128,68366,apply,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2024,GECCO
NCV-0132,104374,review,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2024,TEVC
NCV-0134,68298,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2025,GECCO
NCV-0135,100773,hybrid,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2025,SWEVC
NCV-0145,104770,hybrid,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2023,TEVC
NCV-0147,59323,review,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2025,EVOINT
NCV-0148,21843,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2023,CEC
NCV-0149,68445,apply,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2024,GECCO
NCV-0150,69393,benchmark,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2023,GECCO
NCV-0152,60005,improve,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2021,EVOINT
NCV-0156,69977,apply,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2021,GECCO
NCV-0162,21986,apply,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2022,CEC
NCV-0164,22477,hybrid,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2021,CEC
NCV-0175,69179,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2023,GECCO
NCV-0186,100961,propose_new,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2025,SWEVC
NCV-0187,21329,benchmark,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2025,CEC
NCV-0188,70162,improve,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2021,GECCO
NCV-0190,69670,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2022,GECCO
NCV-0196,22053,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2022,CEC
NCV-0214,21722,hybrid,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2024,CEC
NCV-0218,67925,hybrid,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2025,GECCO
NCV-0233,21870,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2023,CEC
NCV-0235,68446,propose_new,,m1,Core EC conferences|new_gold_excluding_old,4756,100,0.0210260723296888,2024,GECCO
NCV-0245,59290,improve,,m1,Core EC journals|new_gold_excluding_old,3169,100,0.0315556958030924,2025,EVOINT
