case_id,corpus_id,human_label,uncertain,task,stratum,N,n,pi,year,venue_abbr
NCV-0001,22064,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,CEC
NCV-0002,59423,dl_native,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,EVOINT
NCV-0003,101713,hybrid,,role,Core EC journals|enriched,194,50,0.2577319587628865,2022,SWEVC
NCV-0004,69778,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,GECCO
NCV-0005,49531,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2025,ESWA
NCV-0007,21577,dl_native,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2024,CEC
NCV-0008,101489,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,SWEVC
NCV-0009,37393,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2021,ESWA
NCV-0011,57853,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2021,EVOAPP
NCV-0012,44968,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0014,101771,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2021,SWEVC
NCV-0015,98194,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0016,104769,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,TEVC
NCV-0017,68968,neuroevolution,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,GECCO
NCV-0018,97768,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0021,98088,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2022,SSCI
NCV-0023,101121,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,SWEVC
NCV-0024,97931,hybrid,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0025,59737,neuroevolution,,role,Core EC journals|enriched,194,50,0.2577319587628865,2023,EVOINT
NCV-0026,97714,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0030,46744,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0031,68719,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,GECCO
NCV-0033,21688,other,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2024,CEC
NCV-0034,49310,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,ESWA
NCV-0035,59857,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,EVOINT
