group,year,n,nonempty,coverage_pct
Core EC conferences,1991,64,48,75.0
Core EC conferences,1992,59,0,0.0
Core EC conferences,1994,61,61,100.0
Core EC conferences,1996,132,103,78.03030303030303
Core EC conferences,1998,116,101,87.06896551724138
Core EC conferences,1999,18,0,0.0
Core EC conferences,2000,569,369,64.8506151142355
Core EC conferences,2001,328,276,84.14634146341463
Core EC conferences,2002,815,467,57.30061349693251
Core EC conferences,2003,833,733,87.9951980792317
Core EC conferences,2004,863,776,89.9188876013905
Core EC conferences,2005,990,917,92.62626262626263
Core EC conferences,2006,991,904,91.2209889001009
Core EC conferences,2007,1405,1325,94.30604982206405
Core EC conferences,2008,1245,1165,93.57429718875503
Core EC conferences,2009,1122,1016,90.55258467023172
Core EC conferences,2010,1474,1224,83.0393487109905
Core EC conferences,2011,1229,1080,87.87632221318145
Core EC conferences,2012,1241,1240,99.91941982272361
Core EC conferences,2013,1215,1065,87.65432098765432
Core EC conferences,2014,1190,1050,88.23529411764706
Core EC conferences,2015,1213,1202,99.09315746084089
Core EC conferences,2016,1428,1391,97.40896358543418
Core EC conferences,2017,987,974,98.68287740628166
Core EC conferences,2018,1210,1192,98.51239669421487
Core EC conferences,2019,1193,1182,99.07795473595976
Core EC conferences,2020,1117,1085,97.13518352730529
Core EC conferences,2021,1008,888,88.0952380952381
Core EC conferences,2022,1006,992,98.60834990059642
Core EC conferences,2023,901,806,89.45615982241954
Core EC conferences,2024,1120,1098,98.03571428571429
Core EC conferences,2025,977,976,99.89764585465711
Core EC journals,1997,24,24,100.0
Core EC journals,1998,13,13,100.0
Core EC journals,1999,20,20,100.0
Core EC journals,2000,66,50,75.75757575757575
Core EC journals,2001,89,70,78.65168539325843
Core EC journals,2002,75,60,80.0
Core EC journals,2003,71,70,98.59154929577464
Core EC journals,2004,77,76,98.7012987012987
Core EC journals,2005,94,90,95.74468085106383
Core EC journals,2006,86,82,95.34883720930233
Core EC journals,2007,99,86,86.86868686868686
Core EC journals,2008,116,108,93.10344827586206
Core EC journals,2009,167,150,89.82035928143712
Core EC journals,2010,126,116,92.06349206349206
Core EC journals,2011,156,152,97.43589743589743
Core EC journals,2012,178,169,94.9438202247191
Core EC journals,2013,177,172,97.17514124293785
Core EC journals,2014,202,199,98.51485148514851
Core EC journals,2015,180,176,97.77777777777777
Core EC journals,2016,211,206,97.6303317535545
Core EC journals,2017,213,210,98.59154929577464
Core EC journals,2018,281,279,99.28825622775801
Core EC journals,2019,414,408,98.55072463768116
Core EC journals,2020,308,305,99.02597402597402
Core EC journals,2021,463,457,98.70410367170626
Core EC journals,2022,541,538,99.44547134935306
Core EC journals,2023,526,521,99.04942965779468
Core EC journals,2024,714,712,99.71988795518207
Core EC journals,2025,943,943,100.0
Mixed journals,1995,8,8,100.0
Mixed journals,1996,12,12,100.0
Mixed journals,1997,123,123,100.0
Mixed journals,1998,169,169,100.0
Mixed journals,1999,158,158,100.0
Mixed journals,2000,227,140,61.67400881057269
Mixed journals,2001,279,143,51.25448028673835
Mixed journals,2002,334,173,51.796407185628745
Mixed journals,2003,412,196,47.57281553398058
Mixed journals,2004,476,330,69.32773109243698
Mixed journals,2005,871,710,81.51549942594718
Mixed journals,2006,906,751,82.89183222958057
Mixed journals,2007,1297,1131,87.20123361603702
Mixed journals,2008,1581,1423,90.00632511068943
Mixed journals,2009,2504,2303,91.97284345047923
Mixed journals,2010,2130,1972,92.58215962441315
Mixed journals,2011,3227,3112,96.43631856213202
Mixed journals,2012,2770,2587,93.39350180505416
Mixed journals,2013,2105,1872,88.93111638954869
Mixed journals,2014,2570,2224,86.53696498054475
Mixed journals,2015,2594,2179,84.00154202004626
Mixed journals,2016,2628,2176,82.80060882800609
Mixed journals,2017,2499,2011,80.47218887555022
Mixed journals,2018,2950,2282,77.35593220338983
Mixed journals,2019,3254,2439,74.95390288875231
Mixed journals,2020,3461,2779,80.29471251083501
Mixed journals,2021,4911,4136,84.21909997963755
Mixed journals,2022,5309,4457,83.95177999623282
Mixed journals,2023,5853,4995,85.34085084572014
Mixed journals,2024,7131,6747,94.61506100126209
Mixed journals,2025,6534,6217,95.14845423936333
SSCI (mixed conf.),2007,531,528,99.43502824858757
SSCI (mixed conf.),2009,416,416,100.0
SSCI (mixed conf.),2011,749,746,99.59946595460615
SSCI (mixed conf.),2013,630,629,99.84126984126983
SSCI (mixed conf.),2014,678,677,99.85250737463127
SSCI (mixed conf.),2015,256,254,99.21875
SSCI (mixed conf.),2016,460,460,100.0
SSCI (mixed conf.),2017,492,491,99.79674796747967
SSCI (mixed conf.),2018,330,329,99.6969696969697
SSCI (mixed conf.),2019,475,475,100.0
SSCI (mixed conf.),2020,419,419,100.0
SSCI (mixed conf.),2021,370,369,99.72972972972973
SSCI (mixed conf.),2022,229,229,100.0
SSCI (mixed conf.),2023,284,284,100.0
