scope,year,n,method_dev,propose_new,improve,hybrid,apply,theory,benchmark,review,other
target_nonempty,1991,48,26,9,11,6,10,7,2,2,1
target_nonempty,1994,61,39,14,18,7,7,10,5,0,0
target_nonempty,1995,8,3,0,2,1,1,0,2,2,0
target_nonempty,1996,115,64,27,28,9,22,17,7,5,0
target_nonempty,1997,147,65,46,14,5,28,17,2,8,27
target_nonempty,1998,283,148,71,61,16,29,50,12,8,36
target_nonempty,1999,178,69,51,11,7,23,40,1,7,38
target_nonempty,2000,559,284,147,88,49,136,69,23,11,36
target_nonempty,2001,489,236,117,82,37,116,69,20,16,32
target_nonempty,2002,700,382,205,111,66,169,67,29,14,39
target_nonempty,2003,999,523,278,164,81,249,129,28,13,57
target_nonempty,2004,1182,600,291,220,89,303,141,46,16,76
target_nonempty,2005,1717,675,294,278,103,409,156,53,87,337
target_nonempty,2006,1737,721,350,257,114,396,160,44,83,333
target_nonempty,2007,3070,1404,747,438,219,755,234,70,142,465
target_nonempty,2008,2696,1243,658,365,220,724,189,61,94,385
target_nonempty,2009,3885,1767,985,441,341,1226,205,104,127,456
target_nonempty,2010,3312,1568,834,462,272,934,191,101,109,409
target_nonempty,2011,5090,2511,1480,587,444,1550,261,114,153,501
target_nonempty,2012,3996,1931,1090,537,304,1183,206,130,155,391
target_nonempty,2013,3738,2096,1185,579,332,986,249,125,91,191
target_nonempty,2014,4150,2409,1453,652,304,982,272,117,107,263
target_nonempty,2015,3811,2293,1364,620,309,914,211,131,86,176
target_nonempty,2016,4233,2686,1658,707,321,934,230,119,85,179
target_nonempty,2017,3686,2340,1422,631,287,839,173,112,75,147
target_nonempty,2018,4082,2625,1653,648,324,860,205,142,96,154
target_nonempty,2019,4504,3097,1994,737,366,812,199,153,105,138
target_nonempty,2020,4587,3170,2119,727,324,830,208,140,127,112
target_nonempty,2021,5850,4106,2894,773,439,1109,195,177,130,133
target_nonempty,2022,6216,4442,3227,808,407,1126,204,183,125,136
target_nonempty,2023,6605,4824,3650,729,445,1117,186,170,145,163
target_nonempty,2024,8557,6560,5222,827,511,1219,190,179,221,188
target_nonempty,2025,8136,6489,5367,647,475,999,198,184,171,95
core_nonempty,1991,48,26,9,11,6,10,7,2,2,1
core_nonempty,1994,61,39,14,18,7,7,10,5,0,0
core_nonempty,1996,103,54,25,24,5,21,17,7,4,0
core_nonempty,1997,24,10,5,4,1,8,4,0,2,0
core_nonempty,1998,114,72,21,38,13,10,21,7,3,1
core_nonempty,1999,20,11,8,1,2,6,1,0,2,0
core_nonempty,2000,419,225,104,79,42,109,49,21,6,9
core_nonempty,2001,346,179,82,66,31,90,50,15,8,4
core_nonempty,2002,527,291,143,95,53,138,54,29,8,7
core_nonempty,2003,803,444,230,145,69,218,99,23,9,10
core_nonempty,2004,852,476,207,201,68,213,104,43,9,7
core_nonempty,2005,1007,550,216,255,79,249,128,45,17,18
core_nonempty,2006,986,559,233,232,94,253,120,34,7,13
core_nonempty,2007,1411,827,383,312,132,337,125,49,39,34
core_nonempty,2008,1273,782,353,299,130,292,118,49,12,20
core_nonempty,2009,1166,668,292,269,107,270,117,70,15,26
core_nonempty,2010,1340,785,335,337,113,323,106,76,22,28
core_nonempty,2011,1232,709,314,277,118,294,112,55,36,26
core_nonempty,2012,1409,825,384,331,110,327,101,85,32,39
core_nonempty,2013,1237,764,334,320,110,266,93,77,21,16
