year,Control & robotics,Fault/prognosis machinery,Forecasting & prediction,Image & vision,"IoT, networks & systems",Medical & bio,Missing controlled terms,NLP & text,Other/unclassified,Scheduling & routing,Security & anomaly
2015,0,0,0,0,0,0,0,0,1,0,0
2016,0,0,0,2,0,0,0,0,2,0,0
2018,1,0,0,2,0,0,2,0,11,1,0
2019,0,0,1,2,0,1,0,0,6,2,0
2020,0,0,0,4,0,2,0,0,5,0,0
2021,0,0,0,3,1,3,0,0,2,1,1
2022,1,0,0,2,0,2,0,2,14,1,2
2023,1,0,2,6,0,2,1,1,14,0,0
2024,0,2,0,6,0,4,7,4,26,2,1
2025,2,0,1,9,0,1,0,5,23,3,0
