group,excluded,n,dl,dl_pct
Core EC conferences,CEC,3526,47,1.3329551900170165
Core EC conferences,EMO,4617,70,1.5161360190599957
Core EC conferences,EUROGP,4674,72,1.5404364569961488
Core EC conferences,EVOAPP,4493,68,1.5134653906076119
Core EC conferences,EVOCOP,4690,72,1.535181236673774
Core EC conferences,FOGA,4709,72,1.5289870460819708
Core EC conferences,GECCO,2300,53,2.3043478260869565
Core EC conferences,ICSI,4497,53,1.1785634867689572
Core EC conferences,PPSN,4574,69,1.5085264538696983
Core EC journals,ACMTELO,3078,86,2.7940220922677064
Core EC journals,ECJ,3098,86,2.775984506132989
Core EC journals,EVOINT,2378,19,0.798990748528175
Core EC journals,GPEM,3078,86,2.7940220922677064
Core EC journals,MEMETIC,3014,76,2.52156602521566
Core EC journals,SWARMINT,3109,86,2.76616275329688
Core EC journals,SWEVC,2000,80,4.0
Core EC journals,TEVC,2442,83,3.3988533988533987
Mixed journals,ASOC,20971,4087,19.488817891373802
Mixed journals,CIM,26423,5177,19.59277901827953
Mixed journals,ESWA,13902,2191,15.760322255790534
Mixed journals,IJBIC,26330,5175,19.654386631219143
Mixed journals,INS,20268,4434,21.87685020722321
Mixed journals,JOH,26428,5193,19.649614045709097
Mixed journals,NATCOMP,26316,5190,19.721842225262197
Mixed journals,SOFTCOMP,26226,5163,19.686570578814916
Mixed journals,TETCI,25552,4934,19.309643080776457
