window,venue,group,n,hits,dl,dl_pct,hit_pct
2016-2020,ASOC,Mixed journals,3386,196,155,4.57767277023036,5.788541051388068
2016-2020,CEC,Core EC conferences,2280,72,14,0.6140350877192983,3.1578947368421053
2016-2020,CIM,Mixed journals,115,9,5,4.3478260869565215,7.82608695652174
2016-2020,ECJ,Core EC journals,125,4,0,0.0,3.2
2016-2020,EMO,Core EC conferences,105,0,0,0.0,0.0
2016-2020,ESWA,Mixed journals,3338,283,243,7.2798082684242065,8.47813061713601
2016-2020,EUROGP,Core EC conferences,96,3,0,0.0,3.125
2016-2020,EVOAPP,Core EC conferences,291,8,1,0.3436426116838488,2.7491408934707904
2016-2020,EVOCOP,Core EC conferences,72,0,0,0.0,0.0
2016-2020,EVOINT,Core EC journals,127,2,2,1.574803149606299,1.574803149606299
2016-2020,FOGA,Core EC conferences,28,0,0,0.0,0.0
2016-2020,GECCO,Core EC conferences,1985,88,6,0.30226700251889166,4.433249370277078
2016-2020,GPEM,Core EC journals,97,2,0,0.0,2.0618556701030926
2016-2020,ICSI,Core EC conferences,694,26,19,2.7377521613832854,3.7463976945244957
2016-2020,IJBIC,Mixed journals,211,3,2,0.9478672985781991,1.4218009478672986
2016-2020,INS,Mixed journals,3891,166,147,3.7779491133384733,4.2662554613209975
2016-2020,JOH,Mixed journals,151,0,0,0.0,0.0
2016-2020,MEMETIC,Core EC journals,130,0,0,0.0,0.0
2016-2020,NATCOMP,Mixed journals,253,1,1,0.3952569169960474,0.3952569169960474
2016-2020,PPSN,Core EC conferences,273,8,2,0.7326007326007326,2.93040293040293
2016-2020,SOFTCOMP,Mixed journals,161,6,3,1.8633540372670807,3.7267080745341614
2016-2020,SSCI,SSCI (mixed conf.),2174,242,200,9.19963201471941,11.131554737810488
2016-2020,SWARMINT,Core EC journals,62,0,0,0.0,0.0
2016-2020,SWEVC,Core EC journals,520,8,0,0.0,1.5384615384615385
2016-2020,TETCI,Mixed journals,181,30,24,13.259668508287293,16.574585635359114
