group,window,n,n_hit,hit_pct,n_dl,dl_pct,n_neuro,neuro_pct,n_hybrid,hybrid_pct,n_other,other_pct,wide_pct,integrated_pct,venue_equal_pct
Core EC conferences,2016-2020,5824,205,3.5199175824175826,42,0.7211538461538461,88,1.510989010989011,52,0.8928571428571428,23,0.3949175824175824,1.6140109890109893,2.403846153846154,0.5255886217673397
Core EC journals,2016-2020,1408,21,1.4914772727272727,2,0.14204545454545456,8,0.5681818181818182,8,0.5681818181818182,3,0.2130681818181818,0.7102272727272727,1.1363636363636365,0.22497187851518557
Mixed journals,2016-2020,11687,694,5.938221956019509,580,4.962779156327544,10,0.08556515786771626,38,0.32514759989732184,66,0.5647300419269274,5.2879267562248655,0.41071275776503813,4.049933666675354
SSCI (mixed conf.),2016-2020,2174,242,11.131554737810488,200,9.19963201471941,15,0.6899724011039559,8,0.36798528058877644,19,0.8739650413983441,9.567617295308189,1.0579576816927323,9.19963201471941
Core EC conferences,2021-2023,2686,220,8.190618019359643,28,1.0424422933730455,75,2.7922561429635144,88,3.276247207743857,29,1.0796723752792257,4.318689501116903,6.068503350707371,1.446991972960179
Core EC journals,2021-2023,1516,107,7.058047493403693,34,2.242744063324538,23,1.517150395778364,35,2.308707124010554,15,0.9894459102902375,4.5514511873350925,3.825857519788918,1.2296527002409356
Mixed journals,2021-2023,13588,2687,19.774801295260524,2192,16.13188107153371,56,0.41212834854283187,206,1.5160435678539887,233,1.7147483073299972,17.647924639387693,1.9281719163968207,10.912050190639263
SSCI (mixed conf.),2021-2023,882,189,21.428571428571427,160,18.140589569160998,8,0.9070294784580499,9,1.0204081632653061,12,1.3605442176870748,19.160997732426306,1.9274376417233559,18.140589569160998
Core EC conferences,2021-2025,4760,475,9.978991596638656,72,1.5126050420168067,110,2.3109243697478994,235,4.936974789915967,58,1.2184873949579833,6.449579831932774,7.247899159663866,1.6146951353618562
Core EC journals,2021-2025,3171,261,8.230842005676443,86,2.712078208766951,49,1.545253863134658,86,2.712078208766951,40,1.261431725007884,5.424156417533902,4.257332071901608,1.9677825106735995
Mixed journals,2021-2025,26552,6307,23.753389575173244,5193,19.55784874962338,106,0.3992166315155167,483,1.819072009641458,525,1.9772521843928894,21.376920759264838,2.218288641156975,12.501289526960852
SSCI (mixed conf.),2021-2025,882,189,21.428571428571427,160,18.140589569160998,8,0.9070294784580499,9,1.0204081632653061,12,1.3605442176870748,19.160997732426306,1.9274376417233559,18.140589569160998
