year,topic,core_n,mixed_n,core_k,mixed_k,weight,core_pct,mixed_pct
2021,Image & vision,37,353,2,101,390,5.405405405405405,28.611898016997166
2021,Medical & bio,22,233,2,59,255,9.090909090909092,25.321888412017167
2021,Scheduling & routing,42,196,0,7,238,0.0,3.5714285714285716
2022,Image & vision,37,354,2,140,391,5.405405405405405,39.548022598870055
2022,Scheduling & routing,47,207,0,11,254,0.0,5.314009661835748
2023,Image & vision,27,428,5,158,455,18.51851851851852,36.91588785046729
2023,Medical & bio,20,290,1,93,310,5.0,32.06896551724138
2023,Scheduling & routing,40,204,0,17,244,0.0,8.333333333333334
2024,Control & robotics,24,243,0,22,267,0.0,9.053497942386832
2024,Image & vision,32,724,5,292,756,15.625,40.331491712707184
2024,Medical & bio,22,325,0,102,347,0.0,31.384615384615383
2024,Scheduling & routing,69,243,2,13,312,2.898550724637681,5.349794238683128
2025,Control & robotics,34,233,0,18,267,0.0,7.725321888412017
2025,Image & vision,31,661,5,304,692,16.129032258064516,45.99092284417549
2025,Medical & bio,27,207,0,71,234,0.0,34.29951690821256
2025,Scheduling & routing,121,231,1,24,352,0.8264462809917356,10.38961038961039
